# 流程: per-utt WavLM-large(SV) embedding -> StandardScaler -> PCA 正交坐标 -> KMeans(k=1) -> 离群=到所属簇中心距离 >= 全局 98% 分位
# n_samples=46888 n_outliers=938 pca_dim=64 kmeans_k=1
# pca_explained_variance_ratio_sum=0.795683 dist_threshold=23.979764
utt	wav_path	dist_to_cluster_center	cluster_id	pca_0	pca_1	pca_2
02438_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/02438_000.wav	24.371151	0	-1.155646	8.260822	-4.036450
02453_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/02453_010.wav	23.996262	0	-15.907434	5.346444	-4.764847
02475_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/02475_020.wav	26.688316	0	-17.884689	2.300754	-1.365882
02555_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/02555_020.wav	24.324690	0	-16.160814	4.698539	-3.842343
02779_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/02779_020.wav	25.916416	0	-19.226891	0.915888	-2.281323
02818_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/02818_000.wav	24.278690	0	2.640117	4.867614	-8.847996
03030_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03030_010.wav	27.306904	0	-17.186779	10.487807	0.613676
03030_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03030_020.wav	28.178564	0	-17.383978	9.298363	-2.958955
03070_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03070_010.wav	25.195549	0	2.034796	2.922139	9.719631
03070_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03070_020.wav	25.823408	0	4.859771	7.544048	-2.632935
03256_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03256_000.wav	25.726711	0	-1.559987	6.660784	-3.038783
03256_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03256_010.wav	27.258190	0	-16.742710	1.320568	-5.177718
03256_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03256_020.wav	24.178558	0	-1.637122	5.847116	-10.373096
03352_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03352_020.wav	27.392178	0	-18.159834	2.660417	-1.978128
03406_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03406_000.wav	25.006380	0	-18.225504	6.358817	1.777275
03493_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03493_010.wav	25.360674	0	-15.303243	8.354588	-3.385860
03541_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03541_010.wav	27.779819	0	-14.036026	2.823662	-0.790544
03648_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03648_010.wav	24.500469	0	4.561449	10.050626	-4.050684
03648_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03648_020.wav	26.693913	0	2.138596	9.689236	2.453917
03652_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03652_000.wav	30.408875	0	-16.289154	8.899224	1.868762
03652_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03652_020.wav	27.681055	0	-3.547484	5.435131	3.576356
03756_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03756_010.wav	25.266834	0	-15.124988	5.872907	-1.410101
03777_022	/home/work_nfs22/xmren/data/kefu/90w_tokens/03777_022.wav	28.052076	0	-16.832327	6.794926	1.075433
03782_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03782_020.wav	24.720831	0	-14.473413	5.694151	3.096580
03814_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03814_000.wav	25.059917	0	-17.992348	4.819053	-0.332619
03853_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03853_010.wav	27.987616	0	-20.489267	6.559514	2.094026
03862_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03862_000.wav	26.877285	0	-15.241037	1.722226	-0.688534
03863_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03863_000.wav	28.240992	0	-15.669416	4.780313	0.252831
03863_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03863_010.wav	28.526251	0	-13.438206	4.305092	-1.533972
03863_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03863_020.wav	29.938576	0	-16.756805	4.416530	-0.311404
03914_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03914_000.wav	24.155977	0	-15.111347	5.301647	-4.821136
03927_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03927_020.wav	25.537458	0	-16.609976	6.795041	0.742760
03941_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03941_000.wav	25.370670	0	-13.688591	6.527904	0.005463
03941_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/03941_010.wav	24.369310	0	-16.733490	3.779492	-1.149233
03941_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03941_020.wav	25.144661	0	-13.762309	5.774235	-0.678008
03957_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/03957_020.wav	24.106049	0	-18.008358	1.380239	-0.540790
03986_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/03986_000.wav	24.676786	0	2.197296	6.448493	-7.125542
04044_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/04044_020.wav	26.588482	0	-17.735058	5.201447	0.393262
04107_011	/home/work_nfs22/xmren/data/kefu/90w_tokens/04107_011.wav	30.364220	0	-16.704464	8.220542	4.052649
04297_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04297_000.wav	27.054794	0	-15.795049	7.055394	-2.951267
04319_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04319_000.wav	24.132788	0	-15.982282	5.415008	-0.332694
04319_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/04319_020.wav	24.446449	0	-17.336796	5.502045	-0.888843
04350_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/04350_020.wav	25.080444	0	-17.327843	5.681990	0.010280
04408_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04408_000.wav	24.204704	0	-14.897544	7.136444	2.442280
04503_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/04503_020.wav	25.107729	0	-17.629959	2.231351	2.703511
04636_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04636_000.wav	25.385860	0	-18.972168	2.465343	-1.597112
04717_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04717_000.wav	28.818672	0	-18.570923	5.904053	-2.595016
04721_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04721_000.wav	25.120409	0	-17.510551	7.639447	1.346337
04821_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04821_000.wav	24.138176	0	-18.063393	2.843299	-1.831452
04883_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/04883_010.wav	28.725952	0	-16.688053	7.742026	-5.651956
04883_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/04883_020.wav	24.830273	0	-0.942711	7.808605	-12.534145
04955_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/04955_000.wav	26.581055	0	-15.336011	4.416739	-0.180314
04960_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/04960_010.wav	24.686810	0	-0.978244	1.210490	9.761803
05075_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/05075_020.wav	24.763632	0	2.704146	4.960237	0.224886
05393_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/05393_000.wav	25.699360	0	-16.686144	7.519265	-3.678664
