utt	wav_path	cluster_id	dist_to_cluster_center	is_outlier	tsne_x	tsne_y
00440_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00440_020.wav	25	12.975536	0	6.540321	-1.103316
00441_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00441_000.wav	3	12.650666	0	-4.667078	-4.622346
00441_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00441_010.wav	9	12.925044	0	-5.102632	3.420046
00441_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00441_020.wav	9	12.971899	0	-20.442537	-10.296289
00442_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00442_000.wav	20	7.888819	0	-13.794145	10.730495
00442_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00442_010.wav	3	9.995270	0	-5.896484	-6.040952
00442_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00442_020.wav	19	8.239118	0	-8.951227	-8.948269
00444_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00444_000.wav	19	10.628895	0	-1.381552	0.631020
00444_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00444_010.wav	1	9.388434	0	-2.894522	8.398307
00444_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00444_020.wav	9	10.022146	0	5.231687	10.509342
00446_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00446_000.wav	25	7.180573	0	3.753750	-8.031892
00446_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00446_010.wav	20	10.379494	0	-7.156470	-6.471746
00446_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00446_020.wav	20	9.242377	0	-8.276418	-4.536155
00447_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00447_000.wav	16	15.884994	0	9.378201	18.567896
00447_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00447_010.wav	16	14.078985	0	9.149707	19.171492
00447_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00447_020.wav	16	13.148121	0	-1.689617	13.572627
00450_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00450_000.wav	10	13.378717	0	-18.229450	11.599394
00450_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00450_010.wav	10	11.669496	0	-17.323997	11.996248
00450_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00450_020.wav	10	15.779844	0	-17.711081	11.598907
00457_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00457_000.wav	6	19.841673	1	-13.549610	-35.426247
00457_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00457_010.wav	20	19.223114	1	3.367366	-15.921548
00457_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00457_020.wav	22	18.270557	0	-12.292805	-30.435595
00461_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00461_000.wav	19	8.768527	0	-3.163243	-11.123516
00461_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00461_010.wav	19	10.570544	0	-10.252437	-16.457315
00461_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00461_020.wav	14	10.104488	0	-2.812982	-10.447214
00463_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00463_000.wav	9	11.148956	0	-1.949459	8.225741
00463_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00463_010.wav	6	12.945565	0	-16.436541	-36.603355
00463_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00463_020.wav	3	12.722784	0	-8.385794	-26.455217
00465_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00465_000.wav	28	13.437765	0	17.054605	-1.325710
00465_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00465_010.wav	28	16.293388	0	-10.363059	-15.102543
00465_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00465_020.wav	28	13.749985	0	-10.322533	-14.670765
00466_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00466_000.wav	14	7.942642	0	8.110001	-4.515291
00466_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00466_010.wav	14	7.224623	0	4.044728	-0.327976
00466_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00466_020.wav	14	7.455650	0	1.322039	-0.476914
00467_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00467_000.wav	2	17.521936	0	24.831715	2.570417
00467_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00467_010.wav	1	16.275517	0	24.803757	2.561934
00467_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00467_020.wav	25	15.288605	0	-9.734642	-5.333412
