group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
00009	30	1	30	1.000000
00019	30	1	30	1.000000
00034	30	1	30	1.000000
00038	30	1	30	1.000000
00051	30	1	30	1.000000
00067	30	1	30	1.000000
00072	30	1	30	1.000000
00079	30	1	30	1.000000
00080	30	1	30	1.000000
00084	30	1	30	1.000000
00093	30	1	30	1.000000
00096	30	1	30	1.000000
00147	30	1	30	1.000000
00164	30	1	30	1.000000
00168	30	1	30	1.000000
00183	30	1	30	1.000000
00198	30	1	30	1.000000
00201	30	1	30	1.000000
00202	30	1	30	1.000000
00211	30	1	30	1.000000
00213	30	1	30	1.000000
00216	30	1	30	1.000000
00219	30	1	30	1.000000
00220	30	1	30	1.000000
00236	30	1	30	1.000000
00242	30	1	30	1.000000
00247	30	1	30	1.000000
00262	30	1	30	1.000000
00265	30	1	30	1.000000
00310	30	1	30	1.000000
00317	30	1	30	1.000000
00319	30	1	30	1.000000
00326	30	1	30	1.000000
00334	30	1	30	1.000000
00339	30	1	30	1.000000
00342	30	1	30	1.000000
00357	30	1	30	1.000000
00359	30	1	30	1.000000
00365	30	1	30	1.000000
00367	30	1	30	1.000000
00368	30	1	30	1.000000
00376	30	1	30	1.000000
00378	30	1	30	1.000000
00382	30	1	30	1.000000
00384	30	1	30	1.000000
00399	30	1	30	1.000000
00404	30	1	30	1.000000
00410	30	1	30	1.000000
00426	30	1	30	1.000000
00431	30	1	30	1.000000
00435	30	1	30	1.000000
00439	30	1	30	1.000000
00441	30	1	30	1.000000
00446	2	1	2	1.000000
00447	30	1	30	1.000000
00450	30	1	30	1.000000
00461	30	1	30	1.000000
00465	11	1	11	1.000000
00467	30	1	30	1.000000
00482	30	1	30	1.000000
00486	30	1	30	1.000000
00487	30	1	30	1.000000
00489	30	1	30	1.000000
00503	30	1	30	1.000000
00506	30	1	30	1.000000
00507	30	1	30	1.000000
00510	30	1	30	1.000000
00526	30	1	30	1.000000
00532	30	1	30	1.000000
00536	30	1	30	1.000000
00555	30	1	30	1.000000
00556	30	1	30	1.000000
00560	30	1	30	1.000000
00563	30	1	30	1.000000
00570	30	1	30	1.000000
00571	30	1	30	1.000000
00575	30	1	30	1.000000
00584	30	1	30	1.000000
00587	30	1	30	1.000000
00601	30	1	30	1.000000
00607	30	1	30	1.000000
00611	30	1	30	1.000000
00615	30	1	30	1.000000
00617	30	1	30	1.000000
00620	30	1	30	1.000000
00627	30	1	30	1.000000
00634	30	1	30	1.000000
00635	30	1	30	1.000000
00637	30	1	30	1.000000
00639	17	1	17	1.000000
00655	30	1	30	1.000000
00668	30	1	30	1.000000
00672	30	1	30	1.000000
00676	30	1	30	1.000000
00711	30	1	30	1.000000
00727	30	1	30	1.000000
00736	30	1	30	1.000000
00742	30	1	30	1.000000
00744	30	1	30	1.000000
00748	30	1	30	1.000000
00753	30	1	30	1.000000
00759	30	1	30	1.000000
00763	30	1	30	1.000000
00785	30	1	30	1.000000
00794	30	1	30	1.000000
00819	30	1	30	1.000000
00824	30	1	30	1.000000
00842	30	1	30	1.000000
00846	30	1	30	1.000000
00850	30	1	30	1.000000
00851	30	1	30	1.000000
00853	30	1	30	1.000000
00881	30	1	30	1.000000
00886	30	1	30	1.000000
00903	30	1	30	1.000000
00907	5	1	5	1.000000
00908	30	1	30	1.000000
00919	30	1	30	1.000000
00923	10	1	10	1.000000
00927	30	1	30	1.000000
00946	30	1	30	1.000000
00949	30	1	30	1.000000
00951	30	1	30	1.000000
00957	30	1	30	1.000000
00958	30	1	30	1.000000
00963	30	1	30	1.000000
00966	30	1	30	1.000000
00968	30	1	30	1.000000
00969	30	1	30	1.000000
00975	30	1	30	1.000000
00984	30	1	30	1.000000
01000	8	1	8	1.000000
01001	30	1	30	1.000000
01008	30	1	30	1.000000
01009	30	1	30	1.000000
01013	30	1	30	1.000000
01031	30	1	30	1.000000
01036	30	1	30	1.000000
01038	30	1	30	1.000000
01040	30	1	30	1.000000
01041	30	1	30	1.000000
01043	30	1	30	1.000000
01051	30	1	30	1.000000
01061	30	1	30	1.000000
01070	30	1	30	1.000000
01074	30	1	30	1.000000
01081	30	1	30	1.000000
01090	30	1	30	1.000000
01096	30	1	30	1.000000
01097	30	1	30	1.000000
01115	30	1	30	1.000000
01118	30	1	30	1.000000
01119	30	1	30	1.000000
01139	30	1	30	1.000000
01146	30	1	30	1.000000
01150	30	1	30	1.000000
01163	30	1	30	1.000000
01166	30	1	30	1.000000
01182	30	1	30	1.000000
01185	30	1	30	1.000000
01189	30	1	30	1.000000
01205	10	1	10	1.000000
01213	30	1	30	1.000000
01217	30	1	30	1.000000
01231	30	1	30	1.000000
01238	30	1	30	1.000000
01245	30	1	30	1.000000
01271	30	1	30	1.000000
01282	30	1	30	1.000000
01309	30	1	30	1.000000
01314	30	1	30	1.000000
01318	30	1	30	1.000000
01334	30	1	30	1.000000
01361	30	1	30	1.000000
01371	30	1	30	1.000000
01379	30	1	30	1.000000
01403	30	1	30	1.000000
01420	30	1	30	1.000000
01425	30	1	30	1.000000
01438	30	1	30	1.000000
01452	30	1	30	1.000000
01455	30	1	30	1.000000
01461	30	1	30	1.000000
01484	30	1	30	1.000000
01485	30	1	30	1.000000
01494	30	1	30	1.000000
01499	30	1	30	1.000000
01501	30	1	30	1.000000
01511	30	1	30	1.000000
01512	30	1	30	1.000000
